Total Population,California County,ZIP,Longitude,Latitude,Ozone Pctl,PM2.5 Pctl,Diesel PM Pctl,Pesticides Pctl,Traffic Pctl,Asthma Pctl,Poverty Pctl,Cardiovascular Disease Pctl
2985,Alameda ,94539,-121.9198352,37.482983,16.94,40.92,90.7,0.0,83.85,8.76,2.02,29.06
4545,San Francisco,94133,-122.4075581,37.8022725,7.58,30.7,99.78,0.0,39.23,31.87,17.69,4.43
3703,Alameda ,94609,-122.2574628,37.8482107,7.58,30.7,94.4,0.0,73.68,69.93,19.95,11.57
5103,Sonoma ,95476,-122.4393662,38.318835,16.94,10.74,8.1,56.2,29.44,16.28,36.47,37.53
2416,San Diego,92128,-117.0682214,33.0159951,53.02,52.61,23.31,37.85,78.17,6.57,37.81,24.74
3408,El Dorado,95709,-120.6900981,38.7487648,82.1,8.72,10.6,62.95,8.77,47.11,24.21,45.34
5201,San Bernardino,91739,-117.556851,34.152255,98.18,83.99,49.55,0.0,75.76,7.74,6.64,25.15
3254,San Diego,92122,-117.1916155,32.8501753,40.49,40.92,71.36,66.03,87.32,4.54,25.53,4.77
6921,San Diego,92128,-117.0877455,32.9526715,40.49,42.86,51.09,0.0,84.48,3.94,9.11,12.64
6978,Sonoma ,95405,-122.660775,38.4493765,7.58,7.76,39.66,21.23,44.69,39.4,42.16,18.34
3676,San Diego,91977,-116.9900814,32.7222385,31.84,69.14,12.41,0.0,34.53,79.33,27.59,40.09
2933,Napa ,94599,-122.3669283,38.3955272,16.94,20.16,21.73,70.64,50.55,9.08,29.4,6.5
2642,Alameda ,94705,-122.2587175,37.8588968,7.58,30.7,94.4,0.0,47.88,23.13,46.26,7.13
3327,Orange ,92867,-117.8056228,33.831656,64.8,66.23,12.56,27.39,20.27,9.46,13.41,11.28
